Store_ID,Store_Name,Store_Zip,Search_Term,SKU,Name,Brand,Price_Current,Price_Regular,Price_Label,Discount_End,Unit_Size,Unit_Type,Is_Keto,Is_Vegan,Is_GlutenFree,Image_URL
3000,ShopRite Corporate,08818,Chicken,00258822000009,Bell & Evans Chicken Drumsticks,Bell & Evans,3.49,3.49,,,1.0,pound,True,False,False,https://images.cdn.shoprite.com/cell/00258822000009_1
3000,ShopRite Corporate,08818,Chicken,00258823000008,Bell & Evans Chicken Thighs,Bell & Evans,3.49,3.49,,,1.0,pound,False,False,False,https://images.cdn.shoprite.com/cell/00258823000008_1
3000,ShopRite Corporate,08818,Chicken,00025317006675,"Applegate Organics Oven Roasted Chicken Breast, 6 oz",Applegate,8.49,8.49,,,1.0,ounce,True,False,True,https://images.cdn.shoprite.com/cell/00025317006675_1
3000,ShopRite Corporate,08818,Chicken,00025317125482,"Applegate Naturals Oven Roasted Chicken Breast, 7 oz",Applegate,6.99,6.99,,,1.0,ounce,True,False,True,https://images.cdn.shoprite.com/cell/00025317125482_1
3000,ShopRite Corporate,08818,Chicken,00025317668002,"Applegate Organics Smoked Chicken Breast, 6 oz",Applegate,8.49,8.49,,,1.0,ounce,True,False,True,https://images.cdn.shoprite.com/cell/00025317668002_1
3000,ShopRite Corporate,08818,Chicken,00072745815171,"Perdue Air Fryer Ready Buffalo Style Crispy Bites, 24 oz",Perdue,9.99,9.99,On Sale!,2025-12-14,1.0,ounce,False,False,False,https://assets.wakefern.com/is/image/wakefern/7274581517-001?$Mi9Product_cell$
3000,ShopRite Corporate,08818,Chicken,00250817000001,"Pollo Fresco Chicken Wings, 3 pound",Pollo Fresco,10.47,10.47,,,1.0,pound,False,False,False,https://images.cdn.shoprite.com/cell/00250817000001.jpg
3000,ShopRite Corporate,08818,Chicken,00258824000007,Bell & Evans Cut Chicken Wings,Bell & Evans,6.99,6.99,,,1.0,pound,True,False,False,https://images.cdn.shoprite.com/cell/00258824000007_1
3000,ShopRite Corporate,08818,Chicken,00258825000006,"Bell & Evans Boneless, Skinless Chicken Breasts",Bell & Evans,7.99,7.99,,,1.0,pound,True,False,False,https://images.cdn.shoprite.com/cell/00258825000006_1
3000,ShopRite Corporate,08818,Chicken,00258821000000,Bell & Evans Split Halves Chicken Breasts,Bell & Evans,4.99,4.99,On Sale!,2025-12-14,1.0,pound,True,False,False,https://images.cdn.shoprite.com/cell/00258821000000_1
3000,ShopRite Corporate,08818,Chicken,00810882011410,"Kidfresh White Meat Chicken Nuggets, 7.9 oz",Kidfresh,5.49,5.49,On Sale! Limit 4,2025-12-14,1.0,ounce,False,False,False,https://images.cdn.shoprite.com/cell/00810882011410_1
